ASJC,SA,PN
11,Agricultural and Biological Sciences,
12,Arts and Humanities,
13,"Biochemistry, Genetics and Molecular Biology",7.1 MED; 7.3 PHARM
14,"Business, Management and Accounting",
15,Chemical Engineering,
16,Chemistry,7.3 PHARM
17,Computer Science,5.2 EL
18,Decision Sciences,
35,Dentistry,7.2 DENT
19,Earth and Planetary Sciences,
20,"Economics, Econometrics and Finance",
21,Energy,
22,Engineering,5.2 EL
23,Environmental Science,
36,Health Professions,7.4 O3
24,Immunology and Microbiology,
25,Material Science,5.2 EL
26,Mathematics,
27,Medicine,7.1 MED; 7.3 PHARM; 7.4 O3
28,Neuroscience,
29,Nursing,7.5 ZDR
30,"Pharmacology, Toxicology and Pharmaceutics",7.3 PHARM; 7.4 O3
31,Physics and Astronomy,5.2 EL
32,Psychology,
33,Social Sciences,
34,Veterinary,
10,Multidisciplinary,
